,VGCPastes Repository (Regulation E),,,,,,,,,,,,,,,,,,,Total Team Count:,,78,,,,,Total Creator Count: ,51,,,Teams with Rentals: ,51,,,,,,,,,,,,
,Click here to visit our Twitter for latest updates!,,,,,,,,,,,,,,,,,,,,,,,,,,DM us in Discord if Rental Code is not available anymore! ⬇︎,,,Source /,,Note: Most of the teams we find are from Twitter,,,,,,,,,,,,
Team ID,Team Description,,Full Name,,1,,,2,,,3,,,4,,,5,,,6,,,,Pokepaste,EVs,Extracted paste?,Rental Status,"Rental Code
(Click text for image)",Date Shared,Tournament / Event,Rank,Link to Source,Report / Video,Other Links,Owner,,Pokemon Text for Copypasta,,,,,,,Team ID
E78,Grant's Beastcoast Safari Zone Champion Team,,Grant Laird,,,,Mystic Water,,,Hearthflame Mask,,,Assault Vest,,,Focus Sash,,,Choice Specs,,,Booster Energy,,https://pokepast.es/cd9d667b0e9481e3,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Champion,https://x.com/zap_vgc/status/1708643285399376316?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,zap_vgc,,Urshifu-Rapid-Strike,Ogerpon,Rillaboom,Chien-Pao,Gholdengo,Roaring Moon,,E78
E77,TheKingVillager's Beastcoast Safari Zone Runner Up Team,,James Evans,,,,Choice Band,,,Leftovers,,,Assault Vest,,,Focus Sash,,,Choice Scarf,,,Safety Goggles,,https://pokepast.es/0d2b100d4ef07dc5,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Runner Up,https://x.com/TheKingVillager/status/1708625621696364633?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,TheKingVillager,,Arcanine-Hisui,Gastrodon,Iron Hands,Urshifu,Landorus-Therian,Cresselia,,E77
E76,Panda's Beastcoast Safari Zone Top 4 Team,,Justin Tang,,,,Booster Energy,,,Hearthflame Mask,,,Sitrus Berry,,,Assault Vest,,,Choice Scarf,,,Safety Goggles,,https://pokepast.es/f910c27360b11a8e,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 4,https://x.com/unironicpanda/status/1708861376372850995?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,unironicpanda,,Iron Bundle,Ogerpon,Rillaboom,Iron Hands,Landorus-Therian,Kingambit,,E76
E75,JoeUX9's Beastcoast Safari Zone Top 4 Team,,Joseph Ugarte,,,,Choice Band,,,Leftovers,,,Assault Vest,,,Focus Sash,,,Safety Goggles,,,Booster Energy,,https://pokepast.es/d3548449861c9522,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 4,https://x.com/JoeUX9/status/1708627738716692699?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,JoeUX9,,Arcanine-Hisui,Gastrodon,Iron Hands,Urshifu,Cresselia,Flutter Mane,,E75
E74,Brian's Beastcoast Safari Zone Top 8 Team,,Brian Youm,,,,Choice Specs,,,Wellspring Mask,,,Assault Vest,,,Choice Scarf,,,Dread Plate,,,Booster Energy,,https://pokepast.es/1940469c11cd584f,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 8,https://x.com/Playmaker708/status/1708648871423779157?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,Playmaker708,,Chi-Yu,Ogerpon,Iron Hands,Landorus-Therian,Kingambit,Flutter Mane,,E74
E73,Skraw's Beastcoast Safari Zone Top 8 Team,,Jacob Mortenson,,,,Booster Energy,,,Sitrus Berry,,,Hearthflame Mask,,,Assault Vest,,,Choice Scarf,,,Choice Specs,,https://pokepast.es/f8f5a9435a69fc5f,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 8,https://x.com/JacobSkraw/status/1708604726634254704?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,JacobSkraw,,Iron Bundle,Amoonguss,Ogerpon,Iron Hands,Landorus-Therian,Flutter Mane,,E73
E72,icebergvgc's Beastcoast Safari Zone Top 8 Team,,Luca Paz,,,,Sitrus Berry,,,Wellspring Mask,,,Focus Sash,,,Assault Vest,,,Choice Scarf,,,Choice Specs,,https://pokepast.es/6a4995ba2c33a766,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 8,No Tweet,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,icebergvgc,,Amoonguss,Ogerpon,Chien-Pao,Iron Hands,Landorus-Therian,Flutter Mane,,E72
E71,Lorcy's Beastcoast Safari Zone Top 8 Team,,Joshua Lorcy,,,,Sitrus Berry,,,Wellspring Mask,,,Assault Vest,,,Choice Scarf,,,Black Glasses,,,Booster Energy,,https://pokepast.es/b074a3751b0e30cd,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 8,https://x.com/lorcylovesyou/status/1708601087454781750?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,lorcylovesyou,,Chi-Yu,Ogerpon,Iron Hands,Landorus-Therian,Kingambit,Flutter Mane,,E71
E70,Xenconic's Beastcoast Safari Zone Top 16 Team,,Alex Landry,,,,Rocky Helmet,,,Hearthflame Mask,,,Assault Vest,,,Choice Scarf,,,Booster Energy,,,Light Clay,,https://pokepast.es/281a7f2d72af804f,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 16,https://twitter.com/xenconic/status/1708602656128729101?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,xenconic,,Amoonguss,Ogerpon,Iron Hands,Landorus-Therian,Flutter Mane,Ninetales-Alola,,E70
E69,TomH's Beastcoast Safari Zone Top 16 Team,,Thomas Hayden,,,,Twisted Spoon,,,Charcoal,,,Flame Orb,,,Choice Scarf,,,Psychic Seed,,,Life Orb,,https://pokepast.es/99c2335d7af1f925,Yes,Owner's,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 16,https://twitter.com/TomHayden27/status/1708672132698218728?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,TomHayden27,,Armarouge,Torkoal,Ursaluna,Urshifu,Indeedee-F,Hatterene,,E69
E68,413X's Beastcoast Safari Zone Top 32 Team,,413X,,,,Choice Specs,,,Wellspring Mask,,,Assault Vest,,,Choice Scarf,,,Rocky Helmet,,,Booster Energy,,https://pokepast.es/346387fd37cb6ba1,Yes,Owner's,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 32,https://twitter.com/413xplayz/status/1708998198394605814?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://pokepast.es/cd09a983f5b6131e,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,413xplayz,,Chi-Yu,Ogerpon-Wellspring,Iron Hands,Landorus-Therian,Sinistcha,Flutter Mane,,E68
E67,Glastrier Okidogi Team,,Dominik Freund,,,,Choice Specs,,,Sitrus Berry,,,Clear Amulet,,,Assault Vest,,,Safety Goggles,,,Covert Cloak,,https://pokepast.es/33772be2cbcfdb52,Yes,Extracted,✔,HBPMJR,4 Oct 2023,Tweet,-,https://twitter.com/TryplexxLoL/status/1709591326038081926?s=20,-,-,TryplexxLoL,,Chi-Yu,Amoonguss,Glastrier,Okidogi,Landorus-Therian,Tornadus,,E67
E66,KastusDiea's Iron Moth Team,,KastusDiea,,,,Booster Energy,,,Choice Band,,,Grassy Seed,,,Life Orb,,,Wide Lens,,,Covert Cloak,,https://pokepast.es/2221ab4fc4e91a01,Yes,Extracted,✔,6Y709J,4 Oct 2023,Discord,-,Discord Submission,-,-,Manual Entry,,Iron Moth,Urshifu-Rapid-Strike,Rillaboom,Ursaluna-Bloodmoon,Maushold-Four,Tornadus,,E66
E65,Setsuna's Ogerpon Hearthflame Team,,Setsuna,,,,Hearthflame Mask,,,Mystic Water,,,Assault Vest,,,Focus Sash,,,Choice Scarf,,,Sitrus Berry,,https://pokepast.es/015003fda14cce5d,Yes,Owner's,✔,P38RKK,30 Sep 2023,Tweet,-,https://twitter.com/Setsuna_vgc/status/1708107595180110127,-,-,Setsuna_vgc,,Ogerpon-Hearthflame,Urshifu-Rapid-Strike,Rillaboom,Chien-Pao,Landorus-Therian,Tornadus,,E65
E64,UserIntel's Mimikyu Team,,UserIntel,,,,Leftovers,,,Sitrus Berry,,,Choice Scarf,,,Assault Vest,,,Life Orb,,,Mental Herb,,https://pokepast.es/64a7675edfd1364e,Yes,Owner's,X,None,2 Oct 2023,Tweet,-,https://twitter.com/Username_Intel/status/1708574134857355465,-,-,Username_Intel,,Heatran,Rillaboom,Landorus-Therian,Kingambit,Flutter Mane,Mimikyu,,E64
E63,PokeReplaysVGC's Time Traveler Championship Top 4 Team,,Adam Wright,,,,Choice Band,,,Wellspring Mask,,,Focus Sash,,,Assault Vest,,,Choice Scarf,,,Choice Specs,,https://pokepast.es/e92440f9a24f15c6,Yes,Owner's,X,None,2 Oct 2023,Time Traveler Championship,Top 4,https://twitter.com/PokeReplaysVGC/status/1708775187322114193,https://play.limitlesstcg.com/tournament/64e2105116713005e5ffc063/standings,-,PokeReplaysVGC,,Arcanine-Hisui,Ogerpon-Wellspring,Chien-Pao,Iron Hands,Landorus-Therian,Flutter Mane,,E63
E62,KayDee's Showdown Ladder Top 20 Team,,Kylian Duquesne,,,,Life Orb,,,Choice Specs,,,Focus Sash,,,Psychic Seed,,,Assault Vest,,,Fairy Feather,,https://pokepast.es/df318fa90472d065,Yes,Owner's,X,None,2 Oct 2023,Showdown Ladder,19th,https://x.com/KayDeeVGC/status/1708787595226857559?s=20,-,-,KayDeeVGC,,Armarouge,Torkoal,Lilligant-Hisui,Indeedee-F,Kingambit,Enamorus-Therian,,E62
E61,Aure's Empoleon Okidogi Team,,Aure,,,,Assault Vest,,,Leftovers,,,Choice Band,,,Covert Cloak,,,Rocky Helmet,,,Light Clay,,https://pokepast.es/1a4bfeb361207926,Yes,Owner's,✔,H00MX7,2 Oct 2023,Tweet,-,https://x.com/foxbalthier/status/1708850342937362854?s=20,-,-,foxbalthier,,Empoleon,Okidogi,Urshifu,Tornadus,Sinistcha,Ninetales-Alola,,E61
E60,Mirorbvgc's PokeVoltClub Top 8 Team,,Mirorbvgc,,,,Aguav Berry,,,Assault Vest,,,Life Orb,,,Sitrus Berry,,,Leftovers,,,Cornerstone Mask,,https://pokepast.es/132e2f4beae8cd8b,No,Owner's,X,None,2 Oct 2023,PokeVoltClub,Top 8,https://x.com/mirrorbvgc/status/1709048675186467237?s=20,-,-,mirrorbvgc,,Milotic,Rillaboom,Chien-Pao,Hippowdon,Okidogi,Ogerpon-Cornerstone,,E60
E59,saimal_poke's Golem Noivern Team,,saimal_poke,,,,Focus Sash,,,Wellspring Mask,,,Choice Scarf,,,Choice Band,,,Life Orb,,,Sharp Beak,,https://pokepast.es/0e13b755cc48b5e3,Yes,Extracted,✔,TFY2R4,3 Oct 2023,Tweet,-,https://twitter.com/saimal_poke/status/1709195661982519766?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,saimal_poke,,Basculegion,Ogerpon-Wellspring,Politoed,Golem,Indeedee,Noivern,,E59
E58,CaptainUnova's Bird Team,,Sheldon,,,,Rocky Helmet,,,Sitrus Berry,,,Damp Rock,,,Safety Goggles,,,Focus Sash,,,Leftovers,,https://pokepast.es/94286dd0f04f50bb,Yes,Owner's,✔,4M1V3G,3 Oct 2023,Tweet,-,https://twitter.com/captain_unova/status/1709205617863234000?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,captain_unova,,Moltres,Cramorant,Pelipper,Zapdos,Squawkabilly-Yellow,Corviknight,,E58
E57,Lily's Battle Stadium Peak 2nd Place Team,,Lily,,,,Leftovers,,,Assault Vest,,,Choice Scarf,,,Choice Specs,,,Light Clay,,,Booster Energy,,https://pokepast.es/b04ae0b0728925fb,Yes,Owner's,✔,N80RKQ,3 Oct 2023,Battle Stadium,2nd,https://twitter.com/LilyMuwu/status/1709348741545619515,-,-,LilyMuwu,,Heatran,Iron Hands,Landorus-Therian,Flutter Mane,Ninetales-Alola,Roaring Moon,,E57
E56,Picollo's German MSS Top 16 Team,,Benjamin Gedaschke,,,,Wellspring Mask,,,Sitrus Berry,,,Focus Sash,,,Assault Vest,,,Choice Scarf,,,Booster Energy,,https://pokepast.es/f60f621aa777b15c,Yes,Extracted,✔,3M94L1,3 Oct 2023,German MSS,Top 16,https://twitter.com/picollovgc/status/1709303766128669065?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,picollovgc,,Ogerpon-Wellspring,Amoonguss,Chien-Pao,Iron Hands,Landorus-Therian,Flutter Mane,,E56
E55,CONCERNEDMOMHS' Muk-Alola Chansey Team,,CONCERNEDMOMHS,,,,Leftovers,,,Focus Sash,,,Assault Vest,,,Sitrus Berry,,,Eviolite,,,Mental Herb,,https://pokepast.es/f6a14d0d8b8ff001,Yes,Extracted,✔,JB9B6N,3 Oct 2023,Tweet,-,https://twitter.com/concernedmomhs/status/1709281253281669606?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,concernedmomhs,,Wo-Chien,Glimmora,Iron Hands,Muk-Alola,Chansey,Carbink,,E55
E54,Nash's Weezing Roaring Moon Team,,Sanghyeon Na,,,,Mystic Water,,,Magnet,,,Choice Scarf,,,Shuca Berry,,,Choice Specs,,,Booster Energy,,https://pokepast.es/3bd7ce093762c3ac,Yes,Owner's,✔,K2DFJ8,3 Oct 2023,Video,-,https://twitter.com/nashvgc/status/1709178434591821961?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,nashvgc,,Palafin,Regieleki,Landorus-Therian,Weezing,Flutter Mane,Roaring Moon,,E54
E53,CloverBells' Ogerpon Tailwind Team,,CloverBells,,,,Hearthflame Mask,,,Assault Vest,,,Focus Sash,,,Choice Scarf,,,Covert Cloak,,,Choice Specs,,https://pokepast.es/e5fcf0386d2de4f6,Yes,Owner's,✔,0J8MDL,2 Oct 2023,Video,-,https://twitter.com/cloverbells21/status/1709048006920585687?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cloverbells21,,Ogerpon-Hearthflame,Rillaboom,Chien-Pao,Landorus-Therian,Tornadus,Flutter Mane,,E53
E52,CloverBells' Roaring Moon Milotic Team,,CloverBells,,,,Hearthflame Mask,,,Leftovers,,,Assault Vest,,,Choice Scarf,,,Fairy Feather,,,Booster Energy,,https://pokepast.es/98873be0ac84f39a,Yes,Owner's,✔,QSJLHD,2 Oct 2023,Video,-,https://twitter.com/cloverbells21/status/1709048006920585687?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cloverbells21,,Ogerpon-Hearthflame,Milotic,Iron Hands,Landorus-Therian,Flutter Mane,Roaring Moon,,E52
E51,CloverBells' Cresselia Bloodmoon Team,,CloverBells,,,,Sitrus Berry,,,Wellspring Mask,,,Assault Vest,,,Throat Spray,,,Mental Herb,,,Booster Energy,,https://pokepast.es/47e9cbdb8b411bd7,Yes,Owner's,✔,CBQRP8,2 Oct 2023,Video,-,https://twitter.com/cloverbells21/status/1709048006920585687?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cloverbells21,,Arcanine-Hisui,Ogerpon-Wellspring,Iron Hands,Ursaluna-Bloodmoon,Cresselia,Flutter Mane,,E51
E50,CloverBells' Moltres-Galar Team,,CloverBells,,,,Leftovers,,,Assault Vest,,,Sitrus Berry,,,Choice Scarf,,,Rocky Helmet,,,Light Clay,,https://pokepast.es/01d58663871f6e99,Yes,Owner's,✔,BNNN8Q,2 Oct 2023,Video,-,https://twitter.com/cloverbells21/status/1709048006920585687?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cloverbells21,,Heatran,Iron Hands,Moltres-Galar,Landorus-Therian,Sinistcha-Masterpiece,Ninetales-Alola,,E50
E49,CloverBells' Baxcalibur Snow Team,,CloverBells,,,,Leftovers,,,Wellspring Mask,,,Assault Vest,,,Choice Scarf,,,Light Clay,,,Loaded Dice,,https://pokepast.es/8fa38228baaf3212,Yes,Owner's,✔,35M4TG,2 Oct 2023,Video,-,https://twitter.com/cloverbells21/status/1709048006920585687?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cloverbells21,,Heatran,Ogerpon-Wellspring,Iron Hands,Landorus-Therian,Ninetales-Alola,Baxcalibur,,E49
E48,Peter's Chicago PC Top 8 Team,,Peter Chen,,,,Sitrus Berry,,,Leftovers,,,Assault Vest,,,Light Clay,,,Rocky Helmet,,,Clear Amulet,,https://pokepast.es/ea433966c2d695d5,Yes,Extracted,✔,HJWK07,1 Oct 2023,Chicago PC,Top 8,https://twitter.com/mrptpablo/status/1708646406238486678?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,mrptpablo,,Arcanine-Hisui,Empoleon,Iron Hands,Sableye,Sinistcha,Baxcalibur,,E48
E47,Philip Cohen's Roaring Moon Veil Team,,Philip Cohen,,,,Hearthflame Mask,,,Sitrus Berry,,,Assault Vest,,,Choice Scarf,,,Light Clay,,,Booster Energy,,https://pokepast.es/fa67220fc9a4b0c4,Yes,Extracted,✔,PQV3TG,1 Oct 2023,Tweet,-,https://twitter.com/infernoprod77/status/1708655463154221297?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,infernoprod77,,Ogerpon-Hearthflame,Milotic,Iron Hands,Landorus-Therian,Ninetales-Alola,Roaring Moon,,E47
E46,anboxing's German Tour Top 8 Team,,anboxing,,,,Life Orb,,,Charcoal,,,Assault Vest,,,Psychic Seed,,,Focus Sash,,,Choice Specs,,https://pokepast.es/c1788fbe9e1d8669,Yes,Extracted,✔,BFGYVN,1 Oct 2023,German Tour,Top 8,https://twitter.com/anboxing11/status/1708180447258091818?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,anboxing11,,Armarouge,Torkoal,Iron Hands,Indeedee-F,Maushold,Hatterene,,E46
E45,johnnychiou36's Trick Room Sun Team,,johnnychiou36,,,,Mind Plate,,,Choice Specs,,,Focus Sash,,,Flame Orb,,,Psychic Seed,,,Life Orb,,https://pokepast.es/cc16afadc8a8a3da,Yes,Owner's,X,None,1 Oct 2023,Tweet,-,https://twitter.com/johnnychiou36/status/1708448470254878893?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,johnnychiou36,,Armarouge,Torkoal,Lilligant-Hisui,Ursaluna,Indeedee-F,Hatterene,,E45
E44,TalonVGC's Recreation of Resu's Trainer School Champion Team,,Cedric Bernier,,,,Hearthflame Mask,,,Assault Vest,,,Choice Band,,,Choice Scarf,,,Focus Sash,,,Choice Specs,,https://pokepast.es/29ac730977e10ea7,Yes,Owner's,✔,MJWJ59,1 Oct 2023,Video,-,https://twitter.com/talonvgc/status/1708504186051039547?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://youtu.be/ERicOIjtR5Q?si=sDQz6hyY3gCoZZBG,-,talonvgc,,Ogerpon-Hearthflame,Rillaboom,Urshifu,Landorus-Therian,Tornadus,Gholdengo,,E44
E43,TalonVGC's Recreation of Ghiso's Baxcalibur Team,,Cedric Bernier,,,,Leftovers,,,Wellspring Mask,,,Assault Vest,,,Choice Scarf,,,Light Clay,,,Loaded Dice,,https://pokepast.es/9018971a6b6eeded,Yes,Owner's,✔,TNV7HV,1 Oct 2023,Video,-,https://twitter.com/talonvgc/status/1708504186051039547?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://youtu.be/ERicOIjtR5Q?si=sDQz6hyY3gCoZZBG,-,talonvgc,,Heatran,Ogerpon-Wellspring,Rillaboom,Landorus-Therian,Ninetales-Alola,Baxcalibur,,E43
E42,TalonVGC's Recreation of Tom Hayden's Beastcoast Team,,Cedric Bernier,,,,Twisted Spoon,,,Charcoal,,,Flame Orb,,,Choice Scarf,,,Psychic Seed,,,Life Orb,,https://pokepast.es/ceaa489b3d33e9bc,Yes,Owner's,✔,ST9R9F,1 Oct 2023,Video,-,https://twitter.com/talonvgc/status/1708504186051039547?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://youtu.be/ERicOIjtR5Q?si=sDQz6hyY3gCoZZBG,-,talonvgc,,Armarouge,Torkoal,Ursaluna,Urshifu,Indeedee-F,Hatterene,,E42
